dataset,mht_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1050.0, 1100.0)",62,1.9300288840895519e-05,6.0080829200614971e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1100.0, 1150.0)",37,1.1517913662828505e-05,3.585468727473895e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1150.0, 1200.0)",31,9.6501444204477593e-06,3.0040414600307486e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1200.0, 1250.0)",14,4.3581294448813424e-06,1.3566638047343704e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1250.0, 1300.0)",5,1.5564748991891975e-06,4.8452279514943353e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1300.0, 1350.0)",4,1.2451798738766229e-06,3.8761824154055768e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1350.0, 1400.0)",2,6.2258993693831144e-07,1.9380912077027884e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1400.0, 1450.0)",3,9.3388490540746716e-07,2.9071368793168184e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1450.0, 1500.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1500.0, 1550.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1550.0, 1600.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1600.0, inf)",1,3.1129496846915572e-07,9.6904560385139421e-14
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.0, 50.0)",12001,0.0037591040600091219,1.1774737851411032e-09
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[50.0, 100.0)",9126,0.002858560299500823,8.9539420322637397e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[100.0, 150.0)",6636,0.0020786111708730459,6.5108873847918858e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[150.0, 200.0)",4976,0.0015586452791467309,4.882184656551658e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[200.0, 250.0)",3565,0.0011166740441694856,3.4977867824359521e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[250.0, 300.0)",2578,0.00080751354107633233,2.5293953043181716e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[300.0, 350.0)",2091,0.00065496930619701743,2.0515771026463625e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[350.0, 400.0)",1589,0.00049772654892876744,1.5590416457822442e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[400.0, 450.0)",1238,0.00038778191083110869,1.2146592065498396e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[450.0, 500.0)",1071,0.00033547208295203745,1.0508077741278044e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[500.0, 550.0)",810,0.00025371837546117604,7.9472858849349848e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[550.0, 600.0)",696,0.00021800986723974347,6.8287785148779534e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[600.0, 650.0)",525,0.00016444709035567939,5.1510185006264919e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[650.0, 700.0)",497,0.00015567657828796655,4.8762976295746441e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[700.0, 750.0)",408,0.00012779889220837504,4.0030773834631717e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[750.0, 800.0)",363,0.00011370341962901875,3.561561462417373e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[800.0, 850.0)",278,8.7078653450589627e-05,2.7275869063370095e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[850.0, 900.0)",228,7.1417023718822747e-05,2.2370136992799772e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[900.0, 950.0)",188,5.8887722843792289e-05,1.8445552377177599e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[950.0, 1000.0)",151,4.7298115532612428e-05,1.4815310436788742e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[1000.0, 1050.0)",119,3.7274676287779585e-05,1.1675642223873961e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[1050.0, 1100.0)",91,2.8504162401077338e-05,8.9284317786320067e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[1100.0, 1150.0)",64,2.0046883946633898e-05,6.2793368595104315e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[1150.0, 1200.0)",56,1.7541024135425687e-05,5.4944195894413017e-12
