dataset,leadFatJet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[400.0, 450.0)",1274,0.00039658977766521275,1.2345641176025879e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[450.0, 500.0)",1401,0.00043612424633465707,1.3576328949937988e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[500.0, 550.0)",1494,0.00046507467050105333,1.4477541387947213e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[550.0, 600.0)",1699,0.00052889017388224602,1.6464084262590717e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[600.0, 650.0)",1792,0.00055784056894481182,1.7365296700599941e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[650.0, 700.0)",1958,0.00060951552586629987,1.8973912718767139e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[700.0, 750.0)",2120,0.00065994530450552702,2.0543766687808329e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[750.0, 800.0)",2089,0.00065029517281800508,2.0243362541805254e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[800.0, 850.0)",2361,0.00073496741242706776,2.2879166616807112e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[850.0, 900.0)",2486,0.00077387929195538163,2.4090474060045608e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[900.0, 950.0)",2496,0.00077699223766103387,2.4187377101192453e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[950.0, 1000.0)",2704,0.00084174156654626131,2.6202992553514548e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1000.0, 1050.0)",2830,0.00088096474064514041,2.7423990855979241e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1050.0, 1100.0)",2855,0.00088874716311693192,2.7666252622182697e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1100.0, 1150.0)",2919,0.00090867001563310623,2.8286439857083678e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1150.0, 1200.0)",2958,0.00092081050388514996,2.8664368101338766e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1200.0, 1250.0)",2711,0.00084392068674787879,2.6270827180319145e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1250.0, 1300.0)",2353,0.00073247705586254597,2.2801642518555099e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1300.0, 1350.0)",1948,0.00060640258016064763,1.8877008289841513e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1350.0, 1400.0)",1407,0.00043799201375804842,1.3634471329737607e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1400.0, 1450.0)",828,0.00025775222457014024,8.0236976784942016e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1450.0, 1500.0)",438,0.00013634719653055072,4.2444197462243594e-11
