dataset,sublFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-3.4, -3.2)",2,6.3283385998147423e-07,2.0023934767243734e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-3.2, -3.0)",6,1.8985015231010038e-06,6.0071804301731202e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-3.0, -2.8)",10,3.16416935675079e-06,1.0011967383621867e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.8, -2.5999999999999996)",40,1.265667742700316e-05,4.0047869534487468e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.5999999999999996, -2.4)",77,2.4364104319829494e-05,7.7092152106494893e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.4, -2.2)",116,3.6704364902107045e-05,1.1613881731320497e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.2, -2.0)",210,6.6447551944293082e-05,2.1025131288765486e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.0, -1.7999999999999998)",352,0.00011137875844724476,3.5242125190348972e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.7999999999999998, -1.5999999999999996)",630,0.00019934267038479447,6.3075392131572983e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.5999999999999996, -1.4)",814,0.0002575633698143065,8.1497412984798956e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.4, -1.1999999999999997)",1142,0.00036134812398813665,1.1433666513571694e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.1999999999999997, -1.0)",1495,0.00047304329928010702,1.4967890815675844e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.0, -0.7999999999999998)",1881,0.00059518025955185294,1.8832510551014536e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-0.7999999999999998, -0.5999999999999996)",2238,0.00070814107311889529,2.2406783373174477e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-0.5999999999999996, -0.3999999999999999)",2539,0.00080338260158896446,2.5420385241226029e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-0.3999999999999999, -0.19999999999999973)",2638,0.00083470786921679974,2.6411570153150876e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-0.19999999999999973, 0.0)",2827,0.0008945106528699398,2.8303831500764431e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.0, 0.20000000000000018)",2801,0.00088628381490707397,2.8043520283738133e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.20000000000000018, 0.40000000000000036)",2685,0.00084957946091890335,2.6882132631023126e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.40000000000000036, 0.6000000000000005)",2535,0.00080211693421006203,2.5380336721170238e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.6000000000000005, 0.8000000000000007)",2141,0.00067744863918051124,2.1435622721277525e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.8000000000000007, 1.0)",1884,0.00059612951008602977,1.8862546247166989e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.0, 1.2000000000000002)",1584,0.00050120439846068621,1.5858955815239995e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.2000000000000002, 1.4000000000000004)",1145,0.00036229737452231348,1.1463702903613537e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.4000000000000004, 1.6000000000000005)",813,0.00025724695296958089,8.1397291684659479e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.6000000000000005, 1.8000000000000007)",575,0.00018193972937297076,5.7568810829522477e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.8000000000000007, 2.0)",346,0.00010948025737889111,3.4641407797852963e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.0, 2.2)",223,7.0560978201683611e-05,2.2326687373896981e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.2, 2.4000000000000004)",149,4.7146120778052136e-05,1.4917830859495496e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.4000000000000004, 2.6000000000000005)",83,2.6262605388183147e-05,8.3099326031454979e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.6000000000000005, 2.8000000000000007)",46,1.4555178495356813e-05,4.6055052133064933e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.8000000000000007, 3.0)",12,3.7970030462020077e-06,1.201436086034624e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.0, 3.2)",8,2.5313354399258969e-06,8.0095739068974936e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.2, 3.4000000000000004)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.4000000000000004, 3.6000000000000005)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.6000000000000005, 3.8000000000000007)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.8000000000000007, 4.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[4.0, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-inf, -4.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-4.0, -3.8)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-3.8, -3.6)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-3.6, -3.4)",2,6.3664180061095976e-07,2.0265638668061359e-13
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-3.4, -3.2)",4,1.2732836012219195e-06,4.0531277336122717e-13
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-3.2, -3.0)",10,3.18320894621138e-06,1.0132819062980136e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-3.0, -2.8)",22,7.0030596361903008e-06,2.2292202805918038e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.8, -2.5999999999999996)",46,1.4642761016148143e-05,4.6610970291793841e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.5999999999999996, -2.4)",91,2.8967202524654567e-05,9.2208653906800109e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.4, -2.2)",175,5.5706157581880689e-05,1.7732433577055673e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.2, -2.0)",269,8.5628322267439216e-05,2.725728323604848e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.0, -1.7999999999999998)",515,0.00016393527039326727,5.218402099327335e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-1.7999999999999998, -1.5999999999999996)",703,0.00022377959976438433,7.1233720311258963e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-1.5999999999999996, -1.4)",980,0.00031195447081699967,9.9301629419290549e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-1.4, -1.1999999999999997)",1399,0.00044533095206134021,1.4175814688766053e-10
