dataset,sublFatJet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.0, 40.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[40.0, 80.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[80.0, 120.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[120.0, 160.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[160.0, 200.0)",3058,0.00096760294400155544,3.0616595370069888e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[200.0, 240.0)",3909,0.0012368737952783704,3.9136779927950727e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[240.0, 280.0)",3583,0.0011337219038978219,3.5872879666776214e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[280.0, 320.0)",3184,0.0010074714664369822,3.1878102935145591e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[320.0, 360.0)",2778,0.00087900622747838497,2.7813246150643067e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[360.0, 400.0)",2535,0.00080211693421006203,2.5380336721170238e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[400.0, 440.0)",2123,0.00067175313597545028,2.1255407156584027e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[440.0, 480.0)",1894,0.00059929367853328586,1.8962666159527686e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[480.0, 520.0)",1615,0.00051101332064718008,1.6169326988446642e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[520.0, 560.0)",1472,0.00046576571185141802,1.4737616682580779e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[560.0, 600.0)",1293,0.00040912709664553404,1.2945473859549139e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[600.0, 640.0)",1089,0.00034457803121767938,1.0903032643394539e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[640.0, 680.0)",955,0.0003021781740244478,9.561428732096644e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[680.0, 720.0)",825,0.00026104395510628819,8.2598733408545399e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[720.0, 760.0)",707,0.00022370676742866635,7.0784607342222472e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[760.0, 800.0)",634,0.00020060833776369691,6.3475870393236988e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[800.0, 840.0)",487,0.00015409504703711718,4.8758282134020448e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[840.0, 880.0)",411,0.00013004735228605568,4.1149184754063484e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[880.0, 920.0)",347,0.00010979667422361672,3.4741525628545489e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[920.0, 960.0)",277,8.7647487816866487e-05,2.7733149110531485e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[960.0, 1000.0)",208,6.5814718254841864e-05,2.0824892157933483e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1000.0, 1040.0)",175,5.5372962378896773e-05,1.7520943029758484e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1040.0, 1080.0)",150,4.7462541260756552e-05,1.5017950424911497e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1080.0, 1120.0)",98,3.1008858059067279e-05,9.8117278191089952e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1120.0, 1160.0)",86,2.7211855922359973e-05,8.6102921667552401e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1160.0, 1200.0)",49,1.550442902953364e-05,4.9058639095544976e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1200.0, 1240.0)",42,1.3289511116454378e-05,4.2050260842807496e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1240.0, 1280.0)",19,6.0119218687759712e-06,1.902273911308372e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1280.0, 1320.0)",17,5.3790877245774027e-06,1.7020344552157174e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1320.0, 1360.0)",6,1.8985015231010038e-06,6.0071804301731202e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1360.0, 1400.0)",10,3.16416935675079e-06,1.0011967383621867e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1400.0, 1440.0)",8,2.5313354399258969e-06,8.0095739068974936e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1440.0, 1480.0)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1480.0, 1520.0)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1520.0, 1560.0)",3,9.4925076155050192e-07,3.0035902150865601e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1560.0, 1600.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1600.0, 1640.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1640.0, 1680.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1680.0, 1720.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1720.0, 1760.0)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1760.0, 1800.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1800.0, inf)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.0, 40.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[40.0, 80.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[80.0, 120.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[120.0, 160.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[160.0, 200.0)",2202,0.0007009426481090486,2.2312468539453789e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[200.0, 240.0)",2982,0.0009492328972555697,3.0216068536148555e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[240.0, 280.0)",2894,0.00092122069327160716,2.9324379036133053e-10
